	1	2	7	8	9	10	11	14	15	16	17	18	19	20	22	24	25	26	27	30	32	33	34	35	36	37	38	41	42	43	44	45	46	48	52	53	58	59	60	61	62	63	64	65	68	71	72	73	74	75	76	78	79	80	81	82	83	84	85	87	88	89	90	91	92	93	94	96	98	99	103	105	106	108	109	111	112	113	119	120	124	125	126	127	129	133	135	136	138	139	140	149	153	155	156	157	163	164	166	167	168	169	170	175	177	182	183	184	189	191	192	197	205	206	210	211	212	213	215	217	218	219	221	222	224	225	226	227	228	230	231	232	233	234	235	236	237	240	241	242	243	244	245	246	247	249	250	251	253	254	255	256	257	258	259	260	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	279	280	281	282	283	284	285	286	287	288	289	291	292	293	294	296	297	299	301	302	303	304	305	306	307	308	310	311	312	313	314	315	316	317	318	320	323	324	325	326	327	328	329	330	331	332	333	334	336	337	338	339	340	341	342	344	345	346	347	348	349	350	351	352	353	356	358	359	360	361	362	363	365	366	367	368	369	370	371	374	375	376	378	379	380	382	383	384	385	386	387	388	389	390	391	392	393	395	396	397	398	399	400	401	402
8	7	7	21	21	14	14	21	35	14	14	14	14	14	14	21	14	14	14	14	14	14	14	14	14	14	14	14	7	7	7	7	7	7	28	7	35	14	7	14	14	7	7	7	7	21	7	14	21	28	21	14	28	49	28	14	28	21	14	14	28	35	14	7	7	7	21	7	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	10	15	5	5	25	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	7	7	21	7	7	7	7	14	7	21	14	14	7	7	14	7	14	7	7	14	14	14	7	14	7	7	7	14	21	14	7	14	14	7	7	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	111	222	222	222	222	259	222	185	148	148	111	148	74	148	148	148	111	222	185	259	148	185	185	296	185	296	222	296	185	148	222	259	259	111	222	148	222	185	185	259	259	111	222	185	148	148	148	185	111	259	148	333	185	259	296	222	111	333	518	259	111	222	222	259	222	222	185	222	111	111	111	259	148	148	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	4	6	2	4	2	4	2	6	3	4	3	4	5	3	5	4	5	5	5	6	7	1	5	3	2	5	7	8	5	4	3	4	4	4	6	4	4	6	7	4	3	4	2	4	4	5	7	5	3	7	3	3	4	5	3	2	3	4	3	4	4	5	3	4	4	3	5	4	2	4	4	2	4	5	3	2	2	3	2	3	6	5	3
